GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54797.1,Q04K48,CARB_STRP2
,ABJ53898.1,Q04K99,LDH_STRP2
,ABJ53740.1,Q04KF8,ADDA_STRP2
,ABJ54468.1,Q04KU2,GLMU_STRP2
,ABJ54293.1,Q04L24,PFKA_STRP2
,ABJ55163.1,Q04LD5,RLMN_STRP2
,ABJ54881.1,Q04LZ5,PGK_STRP2
,ABJ55451.1,Q04M32,ILVC_STRP2
,ABJ54102.1,Q04MI9,RUVB_STRP2
,ABJ54349.1,Q04N63,DNAA_STRP2
,ABJ53749.1,A0A0H2ZLA5,A0A0H2ZLA5_STRP2
,ABJ54013.1,A0A0H2ZLU1,A0A0H2ZLU1_STRP2
,ABJ54025.1,A0A0H2ZLU9,A0A0H2ZLU9_STRP2
,ABJ54069.1,A0A0H2ZLX4,A0A0H2ZLX4_STRP2
,ABJ54106.1,A0A0H2ZM00,A0A0H2ZM00_STRP2
,ABJ53947.1,A0A0H2ZM11,A0A0H2ZM11_STRP2
,ABJ54017.1,A0A0H2ZM62,HK06_STRP2
,ABJ53654.1,A0A0H2ZM67,A0A0H2ZM67_STRP2
,ABJ54200.1,A0A0H2ZM70,A0A0H2ZM70_STRP2
,ABJ53836.1,A0A0H2ZM74,A0A0H2ZM74_STRP2
,ABJ54240.1,A0A0H2ZM99,A0A0H2ZM99_STRP2
,ABJ53893.1,A0A0H2ZMA9,A0A0H2ZMA9_STRP2
,ABJ54272.1,A0A0H2ZMC4,A0A0H2ZMC4_STRP2
,ABJ53927.1,A0A0H2ZMD1,A0A0H2ZMD1_STRP2
,ABJ53945.1,A0A0H2ZMD7,A0A0H2ZMD7_STRP2
,ABJ54331.1,A0A0H2ZMI5,A0A0H2ZMI5_STRP2
,ABJ54021.1,A0A0H2ZMJ1,A0A0H2ZMJ1_STRP2
,ABJ54239.1,A0A0H2ZML1,A0A0H2ZML1_STRP2
,ABJ53858.1,A0A0H2ZMQ2,A0A0H2ZMQ2_STRP2
,ABJ54456.1,A0A0H2ZMS9,A0A0H2ZMS9_STRP2
,ABJ54307.1,A0A0H2ZMU0,A0A0H2ZMU0_STRP2
